Text,Image,Folio
urn:cts:greekLit:tlg5026.msAim.hmt:19.2015office3_1,"urn:cite:hmt:vaimg.VA251VN-0753@0.4415,0.3684,0.0568,0.0102",urn:cite:hmt:msA.251v
urn:cts:greekLit:tlg5026.msAim.hmt:19.2015office3_2,"urn:cite:hmt:vaimg.VA251VN-0753@0.4419,0.4117,0.0562,0.0437",urn:cite:hmt:msA.251v
urn:cts:greekLit:tlg5026.msAim.hmt:19.2015office3_3,"urn:cite:hmt:vaimg.VA251VN-0753@0.4331,0.5323,0.0649,0.0648",urn:cite:hmt:msA.251v
urn:cts:greekLit:tlg5026.msAim.hmt:19.2015office4_1,"urn:cite:hmt:vaimg.VA252RN-0423@0.581,0.2307,0.041,0.0331",urn:cite:hmt:msA.252r
urn:cts:greekLit:tlg5026.msAim.hmt:19.2015office4_2,"urn:cite:hmt:vaimg.VA252RN-0423@0.569,0.287,0.041,0.0331",urn:cite:hmt:msA.252r
urn:cts:greekLit:tlg5026.msAim.hmt:19.2015office4_3,"urn:cite:hmt:vaimg.VA252RN-0423@0.572,0.4823,0.041,0.0331",urn:cite:hmt:msA.252r
urn:cts:greekLit:tlg5026.msAim.hmt:19.2015office5_1,"urn:cite:hmt:vaimg.VA252VN-0754@0.436,0.5379,0.055,0.0458",urn:cite:hmt:msA.252v
urn:cts:greekLit:tlg5026.msAim.hmt:19.2015office5_2,"urn:cite:hmt:vaimg.VA252VN-0754@0.427,0.592,0.067,0.0376",urn:cite:hmt:msA.252v
urn:cts:greekLit:tlg5026.msAim.hmt:19.2015office5_3,"urn:cite:hmt:vaimg.VA252VN-0754@0.427,0.6499,0.067,0.0376",urn:cite:hmt:msA.252v
urn:cts:greekLit:tlg5026.msAim.hmt:19.2015office5_4,"urn:cite:hmt:vaimg.VA252VN-0754@0.428,0.6844,0.15,0.0458",urn:cite:hmt:msA.252v
